DEPARTAMENTO DEL HECHO;GENERICA;ESPECIFICA;MODALIDAD;2015;2016;2017;2018;2019;2020;2021;2022
AREQUIPA;FALTAS;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;FALTAS CONTRA LA TRANQUILIDAD PUBLICA;79;54;174;148;125;134;96;50
AREQUIPA;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;FALTAS CONTRA LAS BUENAS COSTUMBRES;53;36;871;;;;;
AREQUIPA;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;OTRAS FALTAS CONTRA LAS BUENAS COSTUMBRES;;204;19;587;526;583;;
AREQUIPA;FALTAS;FALTAS CONTRA LAS BUENAS COSTUMBRES;PERTURBACION DE LA TRANQUILIDAD;;4;36;15;17;16;39;20
AREQUIPA;FALTAS;FALTAS CONTRA LAS PERSONAS;AGRESION SIN DAÑO;873;1265;1888;2128;1589;2160;2506;1790
AREQUIPA;FALTAS;FALTAS CONTRA LAS PERSONAS;DAÑO;34;11;;922;872;1129;1387;806
AREQUIPA;FALTAS;FALTAS CONTRA LAS PERSONAS;FALTAS CONTRA LAS PERSONAS;4142;1787;;;;;;
AREQUIPA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION CULPOSA;1;9;;142;115;77;72;29
AREQUIPA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA;15;71;964;1187;715;691;768;496
AREQUIPA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESION DOLOSA Y LESION CULPOSA;1040;1667;161;;;;;
AREQUIPA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES;;;327;;;;;
AREQUIPA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES;;;261;;;;;
AREQUIPA;FALTAS;FALTAS CONTRA LAS PERSONAS;LESIONES LEVES POR VIOLENCIA FAMILIAR;;;68;;;;;
